tmdbId,title,overview,cast,director
539,Psycho,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.","Anthony Perkins,Janet Leigh,Vera Miles",Alfred Hitchcock
561,Constantine,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.","Keanu Reeves,Rachel Weisz,Shia LaBeouf",Francis Lawrence
564,The Mummy,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden loveâ€”along with a curse that guarantees eternal doom upon the world if he is ever awoken.,"Brendan Fraser,Rachel Weisz,John Hannah",
565,The Ring,Rachel Keller is a journalist investigating a videotape that may have killed four teenagers. There is an urban legend about this tape: the viewer will die seven days after watching it. Rachel tracks down the video... and watches it. Now she has just seven days to unravel the mystery of the Ring so she can save herself and her son.,"Naomi Watts,Martin Henderson,David Dorfman",Gore Verbinski
571,The Birds,"Chic socialite Melanie Daniels enjoys a passing flirtation with an eligible attorney in a San Francisco pet shop and, on an impulse, follows him to his hometown bearing a gift of lovebirds. But upon her arrival, the bird population runs amok. Suddenly, the townsfolk face a massive avian onslaught, with the feathered fiends inexplicably attacking people all over Bodega Bay.","Tippi Hedren,Rod Taylor,Jessica Tandy",Alfred Hitchcock
572,Next Door,"After Ingrid leaves John, he allows himself to be pulled into a mystical and scary world where it is impossible to separate truth from lies.","Kristoffer Joner,Cecilie A. Mosli,Julia Schacht",Tony Spataro
578,Jaws,"When an insatiable great white shark terrorizes the townspeople of Amity Island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the blood-thirsty beast.","Roy Scheider,Richard Dreyfuss,Robert Shaw",Steven Spielberg
579,Jaws 2,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,"Roy Scheider,Lorraine Gary,Murray Hamilton",Jeannot Szwarc
580,Jaws: The Revenge,"After another deadly shark attack, Ellen Brody decides she has had enough of New England's Amity Island and moves to the Caribbean to join her son, Michael, and his family. But a great white shark has followed her there, hungry for more lives.","Lorraine Gary,Lance Guest,Mario Van Peebles",Joseph Sargent
588,Silent Hill,"In search for answers, a mother travels to the enigmatic town of Silent Hill when her daughter begins to suffer recurring nightmares related to the place. It doesn't take long for her to discover its home to beings as equally haunting as the town itself.","Radha Mitchell,Sean Bean,Jodelle Ferland",Christophe Gans
609,Poltergeist,"Steve Freeling lives with his wife, Diane, and their three children, Dana, Robbie, and Carol Anne, in Southern California where he sells houses for the company that built the neighborhood. It starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. However, when he realizes that something truly evil haunts his home, Steve calls in a team of parapsychologists led by Dr. Lesh to help before it's too late.","Craig T. Nelson,JoBeth Williams,Beatrice Straight",Tobe Hooper
622,The Ninth Gate,"An all-expenses-paid international search for a rare copy of the book 'The Nine Gates of the Kingdom  of Shadows' brings an unscrupulous book dealer deep into a world of murder, double-dealing and satanic worship.","Johnny Depp,Frank Langella,Lena Olin",
628,Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.","Brad Pitt,Tom Cruise,Kirsten Dunst",Neil Jordan
635,Angel Heart,"Down-and-out private detective Harry Angel is ordered by the mysterious Louis Cyphre to go on a mission to find a missing person. His routine failure soon leads to a bloody spar with himself, as he goes on a supernatural journey into his own soul.","Mickey Rourke,Robert De Niro,Lisa Bonet",
653,Nosferatu,Vampire Count Orlok is interested in a new residence and in his real estate agentâ€™s young wife. F.â€¯W. Murnauâ€™s unauthorized adaptation of Bram Stokerâ€™s â€œDracula.â€,"Max Schreck,Gustav von Wangenheim,Greta SchrÃ¶der",F. W. Murnau
663,Saw IV,"Jigsaw and his apprentice Amanda are dead. Now, upon the news of Detective Kerry's murder, two seasoned FBI profilers, Agent Strahm and Agent Perez, arrive in the terrified community to assist the veteran Detective Hoffman in sifting through Jigsaw's latest grisly remains and piecing together the puzzle. However, when SWAT Commander Rigg is abducted and thrust into a game, the last officer untouched by Jigsaw has but ninety minutes to overcome a series of demented traps and save an old friend...or face the deadly consequences.","Tobin Bell,Costas Mandylor,Scott Patterson",Darren Lynn Bousman
679,Aliens,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her storyâ€”all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.","Sigourney Weaver,Carrie Henn,Michael Biehn",
694,The Shining,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.","Jack Nicholson,Shelley Duvall,Danny Lloyd",
745,The Sixth Sense,"Following an unexpected tragedy, a child psychologist named Malcolm Crowe meets an nine year old boy named Cole Sear, who is hiding a dark secret.","Bruce Willis,Haley Joel Osment,Toni Collette",
747,Shaun of the Dead,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.","Simon Pegg,Nick Frost,Kate Ashfield",
755,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.","George Clooney,Quentin Tarantino,Harvey Keitel",Robert Rodriguez
763,Braindead,"When a Sumatran rat-monkey bites Lionel Cosgrove's mother, she's transformed into a zombie and begins killing (and transforming) the entire town while Lionel races to keep things under control.","Timothy Balme,Diana PeÃ±alver,Elizabeth Moody",
764,The Evil Dead,"When a group of college students finds a mysterious book and recording in the old wilderness cabin they've rented for the weekend, they unwittingly unleash a demonic force from the surrounding forest.","Bruce Campbell,Ellen Sandweiss,Richard DeManincor",
765,Evil Dead II,"Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ""The Book of the Dead."" As they play the recording an evil power is unleashed taking over Linda's body.","Bruce Campbell,Sarah Berry,Dan Hicks",
